ID	Subject of photo	Photos of particular interest
4233	340	RAF flier Rolfie Dunn kisses baby Alice after returning from Gulf.
4250	59	Huge explosion as US troops blow up a mountain of landmines, left by retreating Iraqi forces.
4265	270	Man with a knife seen in other photos - he has a sack of money over his shoulder with money from the bank.
4295	370	Kurdish fighters welcomed by Arab tribal militias as they enter Mosul.
4299	372	The photos on this page are all Dan Chung photos of children, with a commentary by him.
4300	145	An injured boy looks towards the camera in agony, his thin frame uncovered. The terrible state of the hospital can be seen in the background. A very powerful image.
4301	149	A dusty blood-encrusted hand and knee is all we can see of this body, under plastic sheeting, accoridng to the caption, an Iraqi soldier.
4301	177	Four children cover their faces and cry in mourning.
4329	340	Rolfie Dunn lifting up his five month old baby on return to England - most papers had a picture of this.
4337	372	Portrait of two marsh Arab children, though caption says they were at a collection point where US troops were delivering aid, so could be 'aid delivery' - very cute!
4341	290	Blair smiling at the Sovereign's Parade at Sandhurst.
4347	255	An Egyptian worshipper denounces US war after prayers in a mosque in Cairo (could be protest).
4350	138	Rescue of US PoWs focuses on Shoshana.
4355	56	Iraqi dad smiles as a UK medical assistant soldier helps deliver baby.
4372	149	US infantrymen bury an Iraqi soldier - there is a small bulldozer and soldier moving the body.
4407	355	Saddam's mural shows a semi naked woman firing a snake out of her finger towards a warrior. Ridiculed by US troops.
4376	263	US troops defend the Oil Ministry (while letting looters steal from just about everywhere else, including the historical museums)
4377	145	Ali Abbas with his aunt in hospital
4379	112	Various snaps relating to BBC Baghdad correspondent Rageh Omaar. One from school, one of his in-laws' mansion, one of him in front of camera, and one of a model wearing a T-shirt featuring his name and face.
4384	371	Angry crowd of Iraqis wave banner demanding a new government and restoration of law and order. In front of them is a US soldier, with his back to the crowd. Unsure if the back to the crowd element is supposed to imply they are ignoring the problem.
4384	999	Six small stock photos of priceless ancient artefacts among the many destroyed by looters.
4384	270	2 pics of museum curators working among the ruins of the museum, trashed by looters, assessing the damage.
4393	59	Kurdish fighters on patrol.
4398	93	One photo of Iraqi man who was imprisoned by the regime and forcibly given a tatoo of hands in handcuffs on his back. Another of a woman holding a picture of her father who is missing (taken by regime).
4399	200	A protestor lays flowers at symbolic 'graves' for Iraq's dead during a minute's silence in Parliament Square (description quoted directly from caption)
4408	262	New recruit to Iraqi police joins UK Marine on patrol, with smiling children.
4415	262	A US marine stands over arrested looters in Baghdad, they are lying face down in the rubble.
4417	262	UK marine with a newly recruited Iraqi policeman.
4419	401	Montage includes map and stills from CNN as they come under fire.
4422	250	An Iraqi crowd show picture of Imam Bakr Sadr, murdered by Saddam.
4424	999	Examples of antiquities stolen from museums.
4441	355	US soldier looks up at a mural in one of Saddam's palaces, depicting missiles taking off into the sky.
4445	999	Antiquities stolen from the museum in Baghdad.
4449	362	A young girl pictured with bowls to be filled with water.
4456	999	A painting at the Badr Girls' School in Baghdad depicts a monster behind the smiling mask of the UN symbol, showing what they have been taught.
4459	182	Six pairs of boots, weapons and night vision goggles in a hangar at Baghdad airport remind mourners of six Army crew who died on 2 April in helicopter crash.
4462	372	Photo of girl holding picture of her father, missing for years - image used in the Indep on Sunday.
4464	355	Seen before - US soldier looks at Saddam's mural of missiles.
4467	262	Looters aggressively arrested by US marines, they are both on the floor, one marine is moving a looter, while a gun points at him in the left bottom corner of the photo.
4472	138	Familiar picture of Shoshana Johnson rescued by US marines.
4473	145	Ali is watched over by Sister Salima.
4474	181	A premature baby clings to his mother's finger - he is likely to die as the hospital runs out of oxygen.
4476	372	Group of men walking south from Tikrit to Baghdad - could be deserters.
4489	38	Two of five pups born in an Iraqi bunker find safe haven in a helmet of a fusilier. Ahhh.
4497	402	Full page picture of Nell McAndrew with no much on, as 'tonic for the boys', coded because the text praises the soldiers for almost winning the war, and calls them victorious troops.
4500	262	Tied up bank robber across a Humvee's bonnet. Pretty degrading.
4502	360	UK medics treat a thirteen year old boy whose hand was blown off by unexploded ordnance, taken in helicopter to Kuwait.
4511	999	Two SAS veterans who are lending support to Sun campaign for a victory parade.
4546	300	Three photos together of Bush, Blair and Rumsfeld, all laughing, under the headline 'Tee-hee day' - slightly sinister.
4550	999	Letter from Blair to widow, before she received demand from MoD.
4554	355	All pictures are from Uday's palace, in the main photo a US soldier holds up a gold Kalashnikov and pistol.
4515	138	Jessica Lynch being stretchered into the US. Pic used in pretty much all the papers, though on this occasion it has nothing to do with the report is sits next to (nor is it a clear photo story).
4519	270	"Civilians examine artefacts amid chaos in Baghdad national museum" (caption)
4521	200	Female protestor lays flowers amid a sea of paper hands. Pic used in the Independent too.
4529	93	Files of citizens found at Iraqi secret police headquarters.
4529	40	What caption describes as 'team photo' of secret police officers, found at secret police headquarters.
4533	95	2 photos of artefacts from the Iraqi National Museum, which was ransacked by looters.
4536	145	Ali Abbas with aunt and unidentified woman - possibly hospital worker - beside his bed.
4539	289	Ahmed Chalabi at a rally in Nasiriya
4539	59	Free Iraqi Force soldiers (Chalabi's army) rejoice
4540	370	Iraqis hug and kiss an American soldier (B&W)
4540	54	US soldiers patrol inside the ruins of one of Saddam's palaces
4540	271	A vigilante beats a looter
4542	93	Iraqi tentatively looks down corridor of prison/torture chamber where he was once a prisoner
4542	93	External shot of prison. It has been bombed (hence could have been coded alternatively as 'post-attack devastation')
4542	93	Photo of civilian executed in 1991. Pic shows him after being executed.
4543	115	Egyptians watching Saddam statue falling on TV
4562	38	'Puppy dogs of war' - family of dogs cared for by Fusilier Jonathan West.
4563	262	Very interesting photo of a US marine poiting a gun at a looter, about as directly violent a shot as we've seen all war. The proximity of the two men and the focus on the gun make this a surpirsingly aggressive photo.
4573	370	A more threatening type of celebration, a tribesman brandishes a gun, celebrating presence of peshmerga in Mosul.
4575	262	US soldiers arrest a group of suspected non-Iraqi fighters, most are kneeling on the floor, one is aggressively manhandled in the foreground.
4580	230	Blair in a meeting with Assad in 2001.
4587	138	Jessica Lynch being stretchered back into the US. Pic used in pretty much every paper, often, as in this instance, without a story to accompany it. This pic has nothing to do with the report next to it.
4590	270	Two pictures of the Baghdad National Museum post-looting
4591	182	Sister of Shiite murdered in 1991 by the regime holds up his portrait.
4593	288	al-Sahaaf delivering address to nation on TV
4593	117	Webpage: WeLoveTheIraqiInformationMinister.com
4596	111	John Simpson, broadcasting on the BBC, moments after he was bombed in a friendly fire incident in northern Iraq.
4598	372	Close-up of terrified Iraqi toddler among refugees. Was frontpage photo for the Guardian and Independent (or maybe The Times) earlier in the war.
4607	290	Blair chats with RAF soldiers and their families
4625	350	Saddam as a child in the 1940s
4627	262	Large photo - seen before in the Independent. US soldiers arrest group of men locals say are foreign fighters, in foreground a US soldier has the man's head gripped, while others wait on the floor under guard.
4631	262	Restoring order, checkpoint guard organised by Shia clerics.
4636	202	A Syrian protester with a banner which reads 'Today Iraq: whose turn tomorrow?' And a flag with the Statue of Liberty holding 'oil' and a missile. His face is covered.
4644	353	A boy jumps over a fallen statue of Saddam in Baghdad.
4647	56	Three smiling Iraqi boys, one is wearing the helmet of a US marine.
4649	999	Missing antiquities from the museum in Baghdad.
4658	262	Same photo as used in the Mail - US sodier holds a gun at a looter's head, here it is in colour, the light shiming on the gun more noticeably.
4666	38	'Charlie's Angels' - three female officers with the Irish regiment, all blonde and big smiles and big guns.
4678	262	Much used photo of the US soldier threatening the looter with his pistol.
4680	230	Blair and Chirac meet at EU summit, headline/caption is 'Is love in the Blair, Jacques?'
4681	203	Police in Athens spray water on anti-war protesters, or 'mob attacks cops'.
4687	145	Nick Parker meets Ali and sees him smile.
4691	203	The Mirror also shows violent clashes between protesters in Athens and police - police firing pepper spray.
4699	145	Ali now in a Kuwaiti hospital.
4701	203	Similar image of tear gas fired at protesters by Greek police durng anti-war demo.
4706	350	Many photos of Saddam recovered by US troops - they show his many sides as he tries to appeal to Iraqis, including herding sheep and holding flowers.
4708	203	Again violent images are used of the protest in Athens.
4711	63	James Bond style weapons found at a Baath Party enclave.
4714	262	A US marine guards looters, we see only the gun in the left side of the photo, pointing down at the men.
4751	262	Seen before - looters it on the ground, guarded by a US marine, whose gun we can see on the left side of the photo.
4753	182	Parade for Matty Hull, accompanying his body to memorial service in Windsor.
4755	362	Marsh Arabs collect water after looters steal equipment from a water purification plant.
4759	262	A US soldier holds millions of dinars removed from a bank, though the story is about the farce of the US and police trying to foil the robbers, which does not go well.
4761	230	Photo shows Berlusconi and Aznar having a really good laugh - strange choice when article is mostly about protest.
4767	39	Two soldiers relax, sampling tobacco pipes in Baghdad - sign that normality is returning.
4775	203	Protester with face covered throws Molotov cocktail at police in Athens - though agitators are separated here from peaceful protesters.
4778	145	Photo of Ali, now in Kuwait and on his way to Britain.
4780	262	US troops hold down looters, one has a man's head under his knee on the floor, while the other soldier counts the money they stole from a bank in Baghdad.
4723	145	Ali
4734	371	Caption says: "US soldier keeps watch over Iraqis staging an anti-American demo in Baghdad". Picture itself quite dramatic - soldier's gun in the foreground with Iraqis - including women - behind razor wire in the background.
4742	999	Three statues/sculptures from the looted Iraqi National Museum
4743	270	Library documents salvaged by Robert Fisk from the looted national library in Baghdad
4795	145	Ali
4801	355	Enormous luxury bedroom in one of Saddam's palaces. US marine is in frame taking picture of the bed.
4801	355	Saddam or sons' golden kalashnikov
4804	62	Very interesting pic of a US tank, in the distance, framed through an archway of the presidential palace entrance. In the foreground is a camel looking through the arch towards the troops. Caption says tanks have 'only a camel for company'.
4805	363	Refugees behind razor-wire
4807	400	Billboard-sized portrait of Syrian leader Bashar al-Assad
4811	400	Queen Rania of Jordan with Cherie Blair (stock photo)
4817	59	UK soldiers stand in front of burning oil pipeline (pic from near start of war)
4821	262	US-backed Iraqi police patrol in Najaf
4824	400	Billboard-sized portrait of Syrian president Assad
4827	39	'Action' photograph of US marine mid-action apparently just about to kick in a door.
4829	181	Baby with dysentery from lack of clean water
4836	138	Famous picture of Jessica Lynch in hat with flag
4838	230	Blair and Schroder standing together in close up, smiling happily
4842	145	Ali being kissed on the forehead by a sheikh
4844	254	Shi'ites in religious ceremony. Spin of article and especially caption is that they are now free to do so now Saddam's repressive regime is gone.
4852	230	4 Blair pictures: one with Bush, one with Chirac, one with family, and an XL one walking in garden talking to Sun reporter
4854	290	Blair with Sun reporter + 4 small snaps of Blair being interviewed
4856	355	Golden gun Saddam supposedly awarded to his senior 'henchmen'
4857	176	Supposed mass grave found near Kirkuk
4858	999	Starying Siberian tiger at Baghdad zoo
4859	350	Montage of Saddam photos. Four small pictures of him on Iraqi TV are placed beside four small new pics from Al Jazeera of an abandoned hideout, demonstrating that he was in the hideout when he made his last TV appearances
4860	145	Ali. Can't see his injuries, only a CU of his face. His face shows no pain.
4863	999	Starving tiger again (same pic)
4868	39	US soldier at the Ministry of Oil premises in Baghdad
4869	95	Journalist Farzad Bazoft, executed by Iraqi regime in March 1990. Not coded under casualty codes because of the event's age.
4874	999	Ancient artefacts stolen from the Baghdad National Museum
4880	372	Iraqi woman weeping because her home in Northern Iraq was 'repossessed' by Kurds
4880	353	Poster of Kurdish leader over face of defaced Saddam mural in Kirkuk
4883	205	Demonstrations in Syria, but apparently not against war (against Israel it appears)
4884	145	Five-year-old child who had a cluster bomb explode in his face. His face is mostly covered by bandages. His mother cries as she holds him. Emotional pic to accompany a fairly emotional story.
4892	289	Achmed Chalabi listening to tribal leaders
4895	288	Barzan al-Tikriti
4898	38	2 pics of UK troops - one with jet in background, one with baby in arms
4902	232	Chirac
4909	372	Caretaker of the British Embassy in Baghdad takes the royal crest for safe-keeping.
4916	355	All five images are pieces of art from 'Saddam's love shack', pretty awful fantasy images by US illustrator Rowena Morrill.
